VELOCITY MPS	ROTOR PITCH ANGLE DEG	TILT ANGLE DEG	PROP 2 RPM	PROP 6 RPM	HOVER PROP RPM	PROP2_FX	PROP2_FY	PROP2_FZ	PROP2_MX	PROP2_MY	PROP2_MZ	PROP6_FX	PROP6_FY	PROP6_FZ	PROP6_MX	PROP6_MY	PROP6_MZ
30	22	30	800	800	NaN	1666.862117	-109.9767487	-286.409545	628.5790661	188.1360122	452.0490533	1204.968778	-14.40283262	-353.8892272	-517.7906694	43.50083286	-536.687385
30	22	30	1100	1100	NaN	4093.896711	-133.829896	-350.0143489	1350.166972	313.4251483	682.3618344	3077.2771	-13.91883242	-435.4367506	-1219.072211	44.66332692	-776.6792883
30	22	30	1400	1400	NaN	7461.074006	-152.7886711	-463.1110389	2316.236944	438.6238278	963.2991594	5855.410589	-46.37375256	-511.6831172	-2243.386117	-57.74123281	-972.7364511
30	22	60	500	500	NaN	973.7241517	-34.60036768	-357.5214556	290.4210039	131.9908267	523.8724017	684.4281511	10.86544763	-328.1544	-235.9033783	79.99604276	-511.5569983
30	22	60	800	800	NaN	2663.571556	-41.31325193	-520.9277106	734.1809028	286.1585011	892.9103489	2151.117383	50.75212243	-462.6536861	-682.7761444	183.1556186	-1023.030329
30	22	60	1100	1100	NaN	4965.9922	-59.68414671	-732.651215	1377.190506	292.5958604	1308.910472	4462.691778	23.09221921	-617.6396767	-1426.779378	269.747727	-1343.389736
30	22	60	1400	1400	NaN	7867.993967	-112.9160403	-1031.764894	2339.720583	133.3904355	1732.893822	7385.130456	-38.33980644	-901.7300728	-2410.389144	299.2889321	-1612.929539
30	31	60	500	500	NaN	1134.881934	-10.5558066	-491.0498756	495.6943811	-9.693825489	512.2664933	871.0030717	-4.065046818	-414.1621806	-418.9943256	8.112254747	-484.2247189
30	31	60	800	800	NaN	2735.765839	-64.62575481	-790.0733639	1276.498811	-80.8534312	862.6923761	2611.268283	12.85069333	-629.5382428	-1246.906889	-143.2155017	-851.3186722
30	31	60	1100	1100	NaN	5012.273111	-149.7982105	-1131.897052	2461.309056	-104.5494766	1245.638156	5103.315267	55.58562792	-981.8404389	-2522.566589	-77.9556629	-1280.46656
30	31	60	1400	1400	NaN	7951.992283	-220.3030126	-1566.428511	4064.751589	-128.5384865	1642.495622	7762.138311	-4.186159967	-1445.837069	-4081.247511	-54.24590178	-1584.854261
30	31	90	500	500	NaN	1311.771745	-60.17143892	-388.7023496	623.695799	-95.58472546	406.4222904	1201.891856	13.61937481	-393.0656554	-609.5156249	-66.55147597	-428.3022001
30	31	90	800	800	NaN	3200.639733	-65.2314281	-505.9798411	1516.31355	-176.8076494	702.5095439	2918.487172	-12.90441132	-593.1297133	-1415.341522	-74.71241135	-734.4541817
30	31	90	1100	1100	NaN	5722.68355	-1.569158928	-795.5972922	2817.607072	-159.9255697	1066.981876	5017.7094	-73.20979888	-1033.931618	-2476.723644	-231.3381931	-1093.023031
30	31	90	1400	1400	NaN	8904.877494	22.19745979	-1204.951158	4514.855344	-230.0932628	1251.974946	7262.3318	-165.4630127	-1648.936117	-3874.7623	-142.2711317	-1769.790571
40	31	30	500	500	NaN	439.0104239	-98.2430565	-508.7087878	263.7873006	110.8720945	452.4343461	228.9283461	-87.61329711	-439.6690761	-202.8358428	-49.33612978	-451.985585
40	31	30	800	800	NaN	2321.443906	-183.3780567	-605.5470889	1148.176689	265.503055	752.4604772	1845.09725	-38.37654227	-664.5612972	-1034.986738	38.03592922	-833.9283889
40	31	30	1100	1100	NaN	4840.524811	-166.5324839	-760.9137339	2256.546656	173.7927669	1011.854277	4422.720683	-28.62115075	-812.9796133	-2306.373478	-18.35366689	-1117.642476
