PROP1_JA	PROP1_JL	PROP5_JA	PROP5_JL	PROP1_CEF_X	PROP1_CEF_Y	PROP1_CEF_Z	PROP1_CEM_X	PROP1_CEM_Y	PROP1_CEM_Z	PROP5_CEF_X	PROP5_CEF_Y	PROP5_CEF_Z	PROP5_CEM_X	PROP5_CEM_Y	PROP5_CEM_Z
0.0125884581030546	0.181381867787982	0.0125884581030546	0.181381867787982	0.0924891527101691	6.37765531696893e-05	-0.00337046952127523	-0.00458169880953392	0.00427514409040387	-0.00354429786242741	0.0868865578246541	-0.000422758435754242	-0.00312216207583289	0.00473338918587518	0.00261006781083904	0.0037029591277662
0.0251155865036186	0.180075146964396	0.0251155865036186	0.180075146964396	0.0930148177683685	0.000103194064704839	-0.00338453051461149	-0.00454571305459386	0.00456440711648779	-0.00356928490607408	0.0858651105902111	-0.000383848083555731	-0.0030740542277882	0.00471916506282182	0.00242978723537039	0.00374658652924904
0	0.8	0	0.8	0.136616855634764	-0.00209631293540147	-0.0128082490720268	-0.00434203372574374	0.00651840810952784	-0.0136529443675189	0.10041929197249	-0.000444222017246435	-0.014694325783687	0.0050878010000867	0.00493551653879735	0.0147151691193056
0	0.5	0	0.5	0.113481582196632	-0.000697210006256281	-0.00881900192072251	-0.00444128425387299	0.00735311439405324	-0.00789435533663069	0.092938452675573	-0.00107741462025073	-0.00872500657984965	0.00490223458121418	0.00516976092647109	0.00861010632272183
0	0.363636363636364	0	0.363636363636364	0.102799970290337	-0.000137234762385088	-0.00655796154969591	-0.00452651194928157	0.00688823936881478	-0.00592587783817109	0.0923764282370619	-0.00086686046568648	-0.00645566952254533	0.00480657151467818	0.00457756152270936	0.00628751942765311
0	0.285714285714286	0	0.285714285714286	0.097702714935858	8.5050281425974e-05	-0.00525265511573218	-0.00460521908520024	0.0062792328837592	-0.00512960280474175	0.0914921557292797	-0.000867193099016938	-0.00508066801851716	0.00481522846814376	0.0043071036343852	0.00500450310203206
-0.0502311730072371	0.360150293928791	-0.0502311730072371	0.360150293928791	0.0966966304739843	-0.000128679385200112	-0.00640081319231027	-0.00470803785737752	0.00543567297393861	-0.00596072449242558	0.0909916638817585	-0.00100010130449262	-0.00638935847944299	0.00485563186998943	0.00460712881120012	0.00564435942016558
-0.0251769162061093	0.362763735575964	-0.0251769162061093	0.362763735575964	0.0999014915082323	-0.000121062398678835	-0.00650296500413102	-0.00462399913336509	0.00615995698792912	-0.0059959229020655	0.0919984447306749	-0.000825040481838257	-0.00645457079545077	0.00482905378371208	0.00453700132059218	0.00595689763511788
0.0251769162061093	0.362763735575964	0.0251769162061093	0.362763735575964	0.105832587829754	-0.000135595208838965	-0.00650572191116239	-0.00444520228885029	0.00749943220161722	-0.00574068545408674	0.0905559863087678	-0.00118460892659694	-0.00645234635024181	0.00482065377547668	0.00473519356411939	0.006703482934872
0.0502311730072371	0.360150293928791	0.0502311730072371	0.360150293928791	0.109108423805859	-2.57679730706261e-05	-0.00639293546506393	-0.00444125540319569	0.00784925373608642	-0.00551089733427626	0.0858647635874514	-0.0017580877859448	-0.00657646638017929	0.00485483262963902	0.0054352746632495	0.00793652657875953
0	2	0	2	0.207500202876144	-0.00854111687948605	-0.0402789194646851	-0.0062605541282325	0.00709574325970484	-0.0416665903428738	0.161278696628013	0.00388487494842086	-0.0385736642016569	0.00599038429401931	0.00486830797507299	0.0384456090227322
0	1.2	0	1.2	0.158101724952717	-0.00344311339597448	-0.0194757299099535	-0.00483894815307686	0.00618052685944439	-0.0226776327642524	0.123866411739371	0.000859466072635379	-0.0222504610978814	0.00536282239902579	0.00592217474828822	0.023266399771286
0	0.75	0	0.75	0.133252436396194	-0.00174102828577087	-0.0122537739713465	-0.004394604345697	0.00663350369263856	-0.0127685773910325	0.098455993501007	-0.000590073970286285	-0.0137217372816977	0.00505542142495153	0.00503532086791743	0.0136835677489816
0	0.545454545454545	0	0.545454545454545	0.117474388764119	-0.000781945912472367	-0.00953014846653431	-0.00446550556355821	0.00757403614918643	-0.00896172598871511	0.094111640544444	-0.00107213812308496	-0.00962395835730771	0.00494953091088125	0.005385283901518	0.00967416363505875
-0.103601794327427	0.742809981228132	-0.103601794327427	0.742809981228132	0.109128769719709	-0.00102502847834813	-0.0132024086600665	-0.00495679962438237	0.00599274061765879	-0.0120838492884979	0.0990077201261592	-0.00101656717894994	-0.0137053361738064	0.00509805656233155	0.00568372000778728	0.0123251000311137
-0.0519273896751004	0.748200204625427	-0.0519273896751004	0.748200204625427	0.120765801632515	-0.00139877046267836	-0.0129656776725043	-0.0046878566115257	0.00672738477883604	-0.0125601609625702	0.0994276120325851	-0.000626032012473702	-0.0137552198909707	0.00508435479028927	0.00514894190151594	0.0127385066563088
0.0519273896751004	0.748200204625427	0.0519273896751004	0.748200204625427	0.144304868358188	-0.00179432987727265	-0.0111948602787797	-0.00425467942562953	0.00578912939509763	-0.0130237689975811	0.102512170267614	-0.000728562589280754	-0.0136481012583532	0.00500087888778639	0.00579200887952587	0.0150495227573381
0.103601794327427	0.742809981228132	0.103601794327427	0.742809981228132	0.148513591163254	-0.00244542061128664	-0.00869335243108872	-0.00439622862979914	0.00557134430635705	-0.0129907320193465	0.1111153457864	-0.00062448322494573	-0.0126213492384306	0.00487443871365852	0.00640037365518378	0.0159916208897718
0	8	0	8	0.824277478168132	-0.0663170076818064	-0.566571446195945	-0.0131999016725162	0.000441049548682403	-0.280405844250592	0.525059523265544	0.0707299069422963	-0.511127739252204	0.00108952710623056	-0.0149685869403406	0.263487280750817
0	2.66666666666667	0	2.66666666666667	0.25752028521859	-0.0103148733296804	-0.0663226331467412	-0.00730732374632491	0.00783888625902885	-0.058684926478256	0.195160206517037	0.00751065924829786	-0.0647059933156761	0.00635820848234244	0.0070561668456453	0.0537210389490095
0	1.6	0	1.6	0.179410437531676	-0.00570848443633757	-0.0287992412673727	-0.00550980948523323	0.00720879933782912	-0.0324125710794504	0.144875444730408	0.00284401917826343	-0.0288837426301463	0.00567757035794114	0.00472550384183211	0.0311790317830355
0	1	0	1	0.147035577583076	-0.00290942691265562	-0.0158022958307333	-0.00465988561168231	0.00666154364119053	-0.0184222289201991	0.112571925696864	0.000207777683928607	-0.0187442084287689	0.00524758694178017	0.00601819107355766	0.0193040169073876
-0.368361935386406	2.6411021554778	-0.368361935386406	2.6411021554778	0.140776909853559	-0.00692470890712414	-0.078139158856749	-0.00697187679361546	0.00735946844899737	-0.0448363364415224	0.137145444814536	-0.00174838700934787	-0.0814246947289316	0.00679496082689345	0.00960811577311892	0.0455058193598827
-0.184630718844801	2.66026739422374	-0.184630718844801	2.66026739422374	0.202416346389941	-0.00864066744297508	-0.0725645282187838	-0.00742412122746374	0.00879522451897225	-0.052420694551039	0.175531092503302	0.00222065264833811	-0.0732180977196478	0.00660021678110952	0.0093256809890943	0.0507701695249686
0.184630718844801	2.66026739422374	0.184630718844801	2.66026739422374	0.297228973719243	-0.00832734034228282	-0.0639052196575385	-0.00796132795601444	0.00544909165737756	-0.0593433489707974	0.220852610865568	0.00741611795793571	-0.0600212391934735	0.00691425687240823	0.00671424193025534	0.0559422175865222
0.368361935386406	2.6411021554778	0.368361935386406	2.6411021554778	0.311494831865372	-0.000244079706226537	-0.0664326093151778	-0.0104585815658028	0.00198085000878321	-0.0553863600041895	0.247203547777083	0.00654283722110292	-0.0576413241279557	0.00754197149629121	0.00774037621385779	0.0571317809682283
0	10	0	10	1.14168614674852	-0.0860326742768387	-0.850359919756826	-0.013580009467408	0.00501816026180284	-0.406848016226189	0.808567102867387	0.099420659423438	-0.76468021895641	-0.00116841473479609	-0.0371690302032071	0.375876864527261
0	3.33333333333333	0	3.33333333333333	0.321149218911072	-0.0171424274126371	-0.103404020176744	-0.00812662833472636	0.00869913302203101	-0.0777258494724266	0.211090585124701	0.0147590513436344	-0.091354543576429	0.00607520783162549	0.00529558576565128	0.0703655036557532
0	2	0	2	0.207384807167793	-0.00876010162057544	-0.0400666565210088	-0.00627813350180329	0.0071703305811151	-0.0418899446297034	0.163480382542496	0.00383522280886369	-0.0388664368837392	0.00597770928672059	0.00530261919589992	0.0388179892703975
0	1.25	0	1.25	0.160887829921639	-0.00342752288918872	-0.0206620016796409	-0.00498432373240987	0.00622636602563039	-0.0241962647478145	0.127509052042961	0.000861844114105975	-0.0230130047247689	0.00542952093981788	0.00616246887838939	0.0248244981604557
0	0.363636363636364	0	0.5	0.102838658712253	-0.000104441966796826	-0.0065719001837423	-0.00453714144033232	0.00681275382981981	-0.00593677174141163	0.0928115929878404	-0.000403220048925582	-0.0085296515087389	0.00487592889719974	0.00353487178293151	0.00882480752043443
0.0502311730072371	0.360150293928791	0.0690678628849511	0.495206654152088	0.109292063978553	-5.67622871589702e-05	-0.00640379686415037	-0.00444476007964881	0.00774118654723555	-0.00559082445157385	0.0874837650555341	-0.00169864929328587	-0.00841769574175572	0.00490043531156273	0.00405780235868743	0.00982543288979427
